Model,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Accuracy
1,1,1.385773455030357,0.6655144498343272,0.694184168012924,0.6970284237726099,
1,2,0.6392957483810892,0.6011972335994921,0.7269789983844911,0.7228682170542635,
1,3,0.5617764313499032,0.48661668078427955,0.8101777059773829,0.812015503875969,
1,4,0.467379097420271,0.44118132521867987,0.7956381260096931,0.7939276485788114,
1,5,0.45449839935956937,0.4461288679092227,0.7851373182552503,0.7771317829457365,
1,6,0.4365110131162059,0.4335160099925867,0.7983844911147011,0.8023255813953488,
1,7,0.42747875176960254,0.4244519706955611,0.7851373182552503,0.7771317829457365,
1,8,0.4276471441929743,0.42800172548805115,0.7956381260096931,0.7939276485788114,
1,9,0.42345577306053284,0.3988801085107814,0.8216478190630049,0.8197674418604651,
1,10,0.4174314176013404,0.4151950587412785,0.8248788368336026,0.8288113695090439,
1,11,0.4110379896201961,0.3944901726296351,0.8218093699515348,0.8217054263565892,
1,12,0.4191157978530109,0.4072181083274055,0.8216478190630049,0.8197674418604651,
1,13,0.4146306496876465,0.404348277796726,0.8243941841680129,0.8281653746770026,
1,14,0.410661012055743,0.4107354625738656,0.8221324717285945,0.8204134366925064,
1,15,0.40738723357912515,0.4069404612561193,0.7956381260096931,0.7939276485788114,
1,16,0.43443320811251923,0.41808613835549,0.8218093699515348,0.8217054263565892,
1,17,0.43261026242202294,0.4210620068713304,0.8221324717285945,0.8204134366925064,
1,18,0.4098716102738206,0.40182012507130616,0.8248788368336026,0.8288113695090439,
1,19,0.40846775174683775,0.4040486365118623,0.8248788368336026,0.8288113695090439,
1,20,0.4161583766472851,0.42398450032121443,0.8222940226171244,0.8268733850129198,
1,21,0.4074285537708186,0.4115188522799351,0.8248788368336026,0.8288113695090439,
1,22,0.40729329751890586,0.4037834313195466,0.8248788368336026,0.8288113695090439,
1,23,0.40848982771321757,0.40313049003920876,0.8216478190630049,0.8197674418604651,
1,24,0.4070853170702177,0.3981920041975449,0.8248788368336026,0.8288113695090439,
1,25,0.40625877028840696,0.4027470517915471,0.8248788368336026,0.8288113695090439,
1,26,0.4046910578339784,0.4022711562939146,0.8221324717285945,0.8204134366925064,
1,27,0.4061806911272034,0.39381678572448015,0.8243941841680129,0.8281653746770026,
1,28,0.4084897702012883,0.3960123762833975,0.8248788368336026,0.8288113695090439,
1,29,0.4020283772669704,0.3993516811697277,0.8248788368336026,0.8288113695090439,
1,30,0.4044866152630258,0.4078625481842356,0.8248788368336026,0.8288113695090439,
1,31,0.4072280591343154,0.39785225450632616,0.8243941841680129,0.8281653746770026,
1,32,0.40458199011124935,0.3975028262742483,0.8252019386106624,0.8275193798449613,
1,33,0.4025970273055924,0.3999129702804429,0.8243941841680129,0.8281653746770026,
1,34,0.40419588035121934,0.4102017592141952,0.8221324717285945,0.8204134366925064,
1,35,0.4033604224079017,0.39521439744388764,0.8252019386106624,0.8275193798449613,
1,36,0.40353452645432314,0.3978947540807075,0.7983844911147011,0.8023255813953488,
1,37,0.40588616064257227,0.4043935564942233,0.8248788368336026,0.8288113695090439,
1,38,0.40485309180190554,0.3925469513800782,0.8252019386106624,0.8275193798449613,
1,39,0.40433338783246914,0.4000401239237995,0.8243941841680129,0.8281653746770026,
1,40,0.4035864414348144,0.4009249557604372,0.8248788368336026,0.8288113695090439,
1,41,0.4030765579359658,0.39551547829114847,0.8248788368336026,0.8288113695090439,
