Number of Models: 10
Test Accuracies: [80.71878279118573, 74.31794333683106, 70.85519412381952, 66.2906610703043, 79.74816369359917, 75.65582371458552, 79.74816369359917, 75.1311647429171, 78.09548793284365, 71.79958027282267]
Mean Accuracy: 75.23609653725079
Standard Deviation: 4.606835746153762
Total Time: 0:20:56.096788



########## Model 1 ##########

Test Accuracy: 80.71878279118573


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|      87 |     0.435337 |          0.427184 |         0.810824 |              0.815245 |
|      88 |     0.436996 |          0.425691 |         0.810824 |              0.815245 |
|      89 |     0.459996 |          0.434258 |         0.810662 |              0.813307 |
|      90 |     0.452861 |          0.432071 |         0.811147 |              0.813953 |
|      91 |     0.435545 |          0.437516 |         0.810824 |              0.815245 |
|      92 |     0.441831 |          0.433422 |         0.811147 |              0.813953 |
|      93 |     0.443242 |          0.487091 |         0.787237 |              0.786822 |
|      94 |     0.448458 |          0.429141 |         0.808078 |              0.806848 |
|      95 |     0.436262 |          0.434139 |         0.810824 |              0.815245 |
|      96 |     0.436834 |          0.432674 |         0.811147 |              0.813953 |
|      97 |     0.436019 |          0.433122 |         0.808078 |              0.806848 |
|      98 |     0.435409 |          0.428123 |         0.810824 |              0.815245 |
|      99 |     0.437077 |          0.426391 |         0.811147 |              0.813953 |
|     100 |     0.434682 |          0.430347 |         0.811147 |              0.813953 |

########## Model 2 ##########

Test Accuracy: 74.31794333683106


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.51593  |          0.999424 |         0.623425 |              0.620155 |
|       2 |     0.700571 |          0.621671 |         0.744103 |              0.75     |
|       3 |     0.612879 |          0.564467 |         0.743619 |              0.749354 |
|       4 |     0.597564 |          0.581631 |         0.744103 |              0.75     |
|       5 |     0.575564 |          0.547514 |         0.741357 |              0.741602 |
|       6 |     0.590517 |          0.548992 |         0.744103 |              0.75     |
|       7 |     0.599111 |          0.631453 |         0.717932 |              0.715116 |
