Number of Models: 10
Test Accuracies: [52.60260795211629, 42.73549950121134, 63.98389625195953, 45.02814593130967, 84.37722673507196, 45.17243836397321, 42.84238278466581, 48.39140658401026, 78.81929599543965, 75.13538549237566]
Mean Accuracy: 57.90882855921334
Standard Deviation: 16.24663070359665
Total Time: 5:10:07.616852



Model Config:
|-----------------------|----------------------|
| sort_pooling_k        | 5                    |
| layer_sizes           | [32, 32, 32, 32, 32] |
| batch_size            | 32                   |
| learning_rate         | 0.0001               |
| dropout_rate          | 0.2                  |
| sizes_1d_convolutions | [32]                 |
| dense_layer_sizes     | [32]                 |
| epochs                | 100                  |



########## Model 1 ##########

Test Accuracy: 52.60260795211629


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|      83 |      1.08845 |          1.13081  |         0.606267 |              0.607326 |
|      84 |      1.07748 |          1.13051  |         0.609832 |              0.608423 |
|      85 |      1.07881 |          1.10709  |         0.62058  |              0.624435 |
|      86 |      1.05788 |          1.09576  |         0.615107 |              0.621057 |
|      87 |      1.07354 |          1.12893  |         0.608669 |              0.607633 |
|      88 |      1.2957  |          1.31538  |         0.566498 |              0.541742 |
|      89 |      1.30216 |          1.32353  |         0.561387 |              0.535907 |
|      90 |      1.31263 |          1.34608  |         0.542588 |              0.517526 |
|      91 |      1.32271 |          1.34309  |         0.542445 |              0.51735  |
|      92 |      1.30811 |          1.35617  |         0.55428  |              0.545032 |
|      93 |      1.32269 |          1.34148  |         0.557098 |              0.549594 |
|      94 |      1.31756 |          1.34887  |         0.557098 |              0.549594 |
|      95 |      1.31549 |          1.33913  |         0.556813 |              0.549331 |
|      96 |      1.31976 |          1.33719  |         0.556572 |              0.54955  |
|      97 |      1.31558 |          1.33831  |         0.547534 |              0.537486 |
|      98 |      1.32113 |          1.35315  |         0.553534 |              0.544944 |
|      99 |      1.31924 |          1.34589  |         0.554159 |              0.544988 |
|     100 |      1.31554 |          1.3382   |         0.543531 |              0.536653 |

########## Model 2 ##########

Test Accuracy: 42.73549950121134


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |      1.71293 |           1.66932 |         0.408583 |              0.386444 |
|       2 |      1.61503 |           1.63773 |         0.409154 |              0.38798  |
|       3 |      1.58973 |           1.62057 |         0.408496 |              0.38798  |
|       4 |      1.57306 |           1.61281 |         0.408496 |              0.38798  |
|       5 |      1.56405 |           1.60474 |         0.408496 |              0.38798  |
|       6 |      1.55716 |           1.59701 |         0.408496 |              0.38798  |
|       7 |      1.55103 |           1.58529 |         0.412532 |              0.393069 |
|       8 |      1.54177 |           1.57894 |         0.419058 |              0.391138 |
|       9 |      1.53225 |           1.56889 |         0.428468 |              0.408204 |
|      10 |      1.52252 |           1.56209 |         0.428402 |              0.408204 |
|      11 |      1.51662 |           1.55883 |         0.423061 |              0.394165 |
|      12 |      1.51013 |           1.55267 |         0.428391 |              0.40816  |
|      13 |      1.50723 |           1.54947 |         0.429126 |              0.40816  |
|      14 |      1.50347 |           1.54154 |         0.429291 |              0.408642 |
|      15 |      1.49703 |           1.54463 |         0.458004 |              0.43571  |
|      16 |      1.47904 |           1.51437 |         0.458191 |              0.435666 |
|      17 |      1.46229 |           1.50558 |         0.458202 |              0.43571  |
|      18 |      1.45492 |           1.50074 |         0.45818  |              0.435666 |
|      19 |      1.45217 |           1.49699 |         0.453233 |              0.422066 |
|      20 |      1.45049 |           1.4983  |         0.453244 |              0.422066 |
|      21 |      1.44804 |           1.49626 |         0.458618 |              0.436061 |
|      22 |      1.44694 |           1.4957  |         0.45864  |              0.436148 |
|      23 |      1.44635 |           1.4952  |         0.458608 |              0.436017 |
|      24 |      1.44636 |           1.49371 |         0.458629 |              0.436104 |
|      25 |      1.44527 |           1.49634 |         0.453255 |              0.422154 |
|      26 |      1.44405 |           1.49461 |         0.453222 |              0.422022 |
|      27 |      1.44396 |           1.49115 |         0.454758 |              0.433077 |
|      28 |      1.44386 |           1.49363 |         0.453255 |              0.42211  |
|      29 |      1.44342 |           1.49231 |         0.453255 |              0.422154 |
|      30 |      1.44315 |           1.4904  |         0.453255 |              0.42211  |
|      31 |      1.44194 |           1.49001 |         0.45864  |              0.436148 |
|      32 |      1.44244 |           1.49383 |         0.453255 |              0.422154 |
|      33 |      1.44243 |           1.48894 |         0.458629 |              0.436148 |
|      34 |      1.441   |           1.49475 |         0.453255 |              0.422154 |
|      35 |      1.44143 |           1.48857 |         0.454758 |              0.433077 |
|      36 |      1.4409  |           1.49164 |         0.453255 |              0.422154 |
|      37 |      1.44092 |           1.48933 |         0.45864  |              0.436104 |
|      38 |      1.44065 |           1.48629 |         0.45864  |              0.436148 |
|      39 |      1.44055 |           1.48822 |         0.453255 |              0.422154 |
|      40 |      1.44071 |           1.48796 |         0.45864  |              0.436148 |
|      41 |      1.44022 |           1.48883 |         0.45864  |              0.436148 |
|      42 |      1.44022 |           1.48478 |         0.45864  |              0.436148 |
|      43 |      1.44024 |           1.49118 |         0.45864  |              0.436148 |
|      44 |      1.44026 |           1.49122 |         0.453244 |              0.422154 |
|      45 |      1.44011 |           1.4947  |         0.453255 |              0.422154 |
|      46 |      1.43986 |           1.48828 |         0.453255 |              0.422154 |
|      47 |      1.43985 |           1.49091 |         0.453255 |              0.422154 |
|      48 |      1.43976 |           1.48907 |         0.45864  |              0.436148 |
|      49 |      1.43944 |           1.48533 |         0.453255 |              0.422154 |
|      50 |      1.43965 |           1.48865 |         0.453255 |              0.422154 |
|      51 |      1.43924 |           1.49292 |         0.453266 |              0.422198 |
|      52 |      1.43939 |           1.48679 |         0.453266 |              0.422198 |
|      53 |      1.43912 |           1.4891  |         0.458673 |              0.436148 |
|      54 |      1.43928 |           1.48682 |         0.458651 |              0.436192 |
|      55 |      1.43895 |           1.48921 |         0.458651 |              0.436192 |
|      56 |      1.4387  |           1.4836  |         0.458651 |              0.436192 |
|      57 |      1.43896 |           1.48501 |         0.458695 |              0.436192 |
|      58 |      1.43872 |           1.48814 |         0.453299 |              0.422198 |
|      59 |      1.43888 |           1.48614 |         0.453266 |              0.422198 |
|      60 |      1.43866 |           1.48962 |         0.458695 |              0.436192 |
|      61 |      1.43856 |           1.48547 |         0.458651 |              0.436192 |
|      62 |      1.43896 |           1.48625 |         0.458684 |              0.436192 |
|      63 |      1.43822 |           1.48715 |         0.458695 |              0.436192 |
|      64 |      1.43855 |           1.48513 |         0.458651 |              0.436192 |
|      65 |      1.43832 |           1.48934 |         0.45864  |              0.436148 |
|      66 |      1.4384  |           1.4864  |         0.453299 |              0.422198 |
|      67 |      1.43819 |           1.48569 |         0.45331  |              0.422198 |
|      68 |      1.43845 |           1.48563 |         0.449427 |              0.419127 |
|      69 |      1.43795 |           1.48966 |         0.458695 |              0.436192 |
|      70 |      1.4383  |           1.48436 |         0.458926 |              0.436411 |
|      71 |      1.43797 |           1.4866  |         0.453508 |              0.422417 |
|      72 |      1.43792 |           1.48719 |         0.458937 |              0.436411 |
|      73 |      1.43781 |           1.48891 |         0.458915 |              0.436368 |
|      74 |      1.43804 |           1.48986 |         0.453266 |              0.422198 |
|      75 |      1.43792 |           1.4863  |         0.458673 |              0.436148 |
|      76 |      1.43755 |           1.4857  |         0.458695 |              0.436192 |
|      77 |      1.43828 |           1.48637 |         0.449669 |              0.419346 |
|      78 |      1.43779 |           1.48474 |         0.458684 |              0.436192 |
|      79 |      1.43739 |           1.48472 |         0.458695 |              0.436192 |
|      80 |      1.4379  |           1.48476 |         0.458937 |              0.436411 |
|      81 |      1.43785 |           1.486   |         0.45331  |              0.422198 |
|      82 |      1.43738 |           1.48711 |         0.45331  |              0.422198 |
|      83 |      1.43813 |           1.48645 |         0.458695 |              0.436192 |
|      84 |      1.43759 |           1.48917 |         0.45864  |              0.436148 |
|      85 |      1.43793 |           1.48626 |         0.45864  |              0.436148 |
|      86 |      1.43782 |           1.48717 |         0.458882 |              0.436368 |
|      87 |      1.4379  |           1.49127 |         0.453255 |              0.422154 |
|      88 |      1.43753 |           1.48498 |         0.458882 |              0.436368 |
|      89 |      1.43774 |           1.48687 |         0.453255 |              0.42211  |
|      90 |      1.43806 |           1.48666 |         0.454758 |              0.433077 |
|      91 |      1.43784 |           1.4895  |         0.45864  |              0.436148 |
|      92 |      1.43747 |           1.48482 |         0.458695 |              0.436192 |
|      93 |      1.43773 |           1.48595 |         0.45864  |              0.436148 |
|      94 |      1.43738 |           1.48442 |         0.45864  |              0.436148 |
|      95 |      1.43772 |           1.48461 |         0.45864  |              0.436148 |
