Model,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Accuracy
1,1,1.3177596453369758,0.9803156207058707,0.7293140990745781,0.7485029940119761,
1,2,0.992367454231704,0.9038764880341725,0.749047359825803,0.7670114316820904,
1,3,0.9320491483621616,0.8530894065618859,0.7764017419706043,0.7887860642351661,
1,4,0.865772367891111,0.8381987962649381,0.7942297223734349,0.804028307022319,
1,5,0.8527381395845679,0.8260996687283443,0.7953184540010887,0.8051170386499727,
1,6,0.8540755718761174,0.8209449229674048,0.7950462710941752,0.8067501360914534,
1,7,0.8484836621619077,0.8044218585293555,0.8003538377789875,0.809471965160588,
1,8,0.8405144483630379,0.8088600342300911,0.800081654872074,0.8078388677191073,
1,9,0.8207054440521208,0.8152312796859507,0.79817637452368,0.8023952095808383,
1,10,0.8103325282586292,0.8363814878970375,0.8017147523135547,0.8051170386499727,
1,11,0.8212485725236008,0.79390622965249,0.8048448557430593,0.8089275993467611,
1,12,0.7952455685290168,0.7828099491538335,0.8033478497550354,0.8072945019052804,
1,13,0.7907596708178267,0.7817639763454971,0.8037561241154055,0.8116494284158955,
1,14,0.788545731300277,0.7863454487214429,0.8072945019052804,0.8127381600435493,
1,15,0.7886999068530681,0.7817421128901338,0.8047087642896026,0.8116494284158955,
1,16,0.7953221474943608,0.7901466914043229,0.8075666848121938,0.813826891671203,
1,17,0.7913600256727514,0.7658709900342753,0.8158682634730539,0.8247142079477409,
1,18,0.779676819131302,0.7670755748784007,0.8175013609145345,0.8214480130647795,
1,19,0.7752842366429253,0.7707555153013559,0.8179096352749048,0.8258029395753946,
1,20,0.7755882805720761,0.7814806879046299,0.8093358737071312,0.8143712574850299,
1,21,0.7694520955229653,0.7580149712420682,0.8173652694610778,0.8236254763200871,
1,22,0.7697354815824581,0.7749131040919982,0.8187261839956451,0.8219923788786064,
1,23,0.7710728929950622,0.7705712821694346,0.8203592814371258,0.8252585737615677,
1,24,0.7676419293174762,0.7677151786681992,0.8204953728905825,0.8263473053892215,
1,25,0.7647239149773895,0.7823583175814995,0.8120577027762657,0.813826891671203,
1,26,0.7616035492655239,0.7773239257860393,0.8184540010887317,0.8214480130647795,
1,27,0.7643165974818701,0.7797551078430591,0.8207675557974959,0.8214480130647795,
1,28,0.763362712026775,0.7695240062965322,0.8221284703320632,0.8258029395753946,
1,29,0.7564916724126478,0.7615209396488749,0.82267283614589,0.8263473053892215,
1,30,0.7574521937863028,0.774122865220603,0.821720195971693,0.8225367446924333,
1,31,0.7604380517229046,0.7678137959974604,0.8219923788786064,0.8258029395753946,
1,32,0.7565021100601839,0.7678054863282398,0.82267283614589,0.8258029395753946,
1,33,0.7538857758952326,0.7672577523197454,0.8221284703320632,0.8258029395753946,
1,34,0.7528019548503815,0.7782524576838615,0.8222645617855199,0.8258029395753946,
1,35,0.7567613085433071,0.7605950831093989,0.8224006532389766,0.8236254763200871,
1,36,0.7497125896721936,0.77808329027787,0.8154599891126837,0.8176374523679912,
1,37,0.7549190862299975,0.7676045671911915,0.8230811105062602,0.8263473053892215,
1,38,0.7517090331430971,0.7699122209184247,0.8236254763200871,0.8258029395753946,
1,39,0.75428022849641,0.7750175916103832,0.8154599891126837,0.8149156232988568,
1,40,0.756981090284948,0.7630647009335231,0.82267283614589,0.8230811105062602,
1,41,0.7569826904169455,0.7700428007180853,0.8218562874251497,0.8225367446924333,
1,42,0.7515231024105654,0.7670984241939157,0.8218562874251497,0.8219923788786064,
1,43,0.7504528169890843,0.7757712923928882,0.8236254763200871,0.8247142079477409,
1,44,0.7482938532299083,0.7712039252162889,0.8237615677735438,0.8247142079477409,
1,45,0.7487160083448383,0.7708617158651759,0.8233532934131736,0.8225367446924333,
1,46,0.7488348301328885,0.762971236145565,0.8234893848666304,0.8258029395753946,
1,47,0.7462232517543633,0.7826649258890734,0.8232172019597169,0.824169842133914,
1,48,0.747541401861392,0.775683899326495,0.8233532934131736,0.8252585737615677,
1,49,0.7464799313480229,0.7705624798358898,0.8229450190528035,0.8225367446924333,
1,50,0.7453008043817243,0.7675888866029427,0.8229450190528035,0.8219923788786064,
1,51,0.749247717181157,0.785892246671501,0.8234893848666304,0.8258029395753946,
1,52,0.7476132659708783,0.766384398111528,0.8234893848666304,0.8225367446924333,
1,53,0.7545808387949066,0.770080820747567,0.8240337506804573,0.8252585737615677,
1,54,0.7449451754063978,0.7787941581987875,0.8215841045182363,0.824169842133914,
1,55,0.7457822091445565,0.7680392032952482,0.8240337506804573,0.8258029395753946,
1,56,0.7438984783568815,0.7720415334437926,0.8237615677735438,0.8225367446924333,
1,57,0.7485961391216261,0.7625988729626343,0.8247142079477409,0.8258029395753946,
1,58,0.7425136700962105,0.7697716685325235,0.8247142079477409,0.8263473053892215,
1,59,0.7429442132411955,0.7774592362643042,0.8244420250408274,0.8252585737615677,
1,60,0.741722646444162,0.7737459291907751,0.8240337506804573,0.8219923788786064,
1,61,0.742508365919747,0.7749329279553511,0.8237615677735438,0.8252585737615677,
1,62,0.7410275988545031,0.7668794734999884,0.8248502994011976,0.8258029395753946,
1,63,0.7430284249688924,0.774275258864472,0.8247142079477409,0.8258029395753946,
1,64,0.7413753582196587,0.7750226889850091,0.824169842133914,0.8219923788786064,
1,65,0.7414543704352463,0.7781979822324032,0.824169842133914,0.8230811105062602,
1,66,0.739550314932967,0.7755795761384884,0.8240337506804573,0.8230811105062602,
1,67,0.7428271659352159,0.7778034495219796,0.8247142079477409,0.8252585737615677,
1,68,0.7417831885620646,0.7783632362148889,0.8248502994011976,0.8247142079477409,
1,69,0.739584070119579,0.7641948062687512,0.8245781164942841,0.8252585737615677,
1,70,0.7410651679485298,0.7763114608626438,0.824169842133914,0.8219923788786064,
1,71,0.7445296664579806,0.8035197046896976,0.8203592814371258,0.8154599891126837,
1,72,0.7522940828880458,0.7729913912774155,0.8236254763200871,0.824169842133914,
1,73,0.7439313554147543,0.773392804892755,0.8232172019597169,0.8219923788786064,
1,74,0.7420718674283044,0.7796071315012749,0.8245781164942841,0.8247142079477409,
1,75,0.7395961970315769,0.7744349428860393,0.8243059335873707,0.8230811105062602,
1,76,0.738158936823596,0.7761181122156503,0.8247142079477409,0.8252585737615677,
1,77,0.7385301127097379,0.774792076564121,0.8247142079477409,0.8252585737615677,
1,78,0.7367326537222433,0.770525636192894,0.8248502994011976,0.8258029395753946,
1,79,0.7407545729338603,0.7792329678368471,0.8247142079477409,0.8252585737615677,
1,80,0.7421303206111673,0.7630905654164365,0.8249863908546543,0.8263473053892215,
1,81,0.7393398361192095,0.7788901500515746,0.8248502994011976,0.8247142079477409,
1,82,0.7400206013189626,0.7835163534555153,0.8236254763200871,0.8209036472509527,
1,83,0.7401885260999926,0.7751516866445244,0.825122482308111,0.8258029395753946,
1,84,0.7402992851877958,0.7765299959305748,0.8243059335873707,0.8214480130647795,
1,85,0.7428069542426945,0.7844769436987505,0.8236254763200871,0.8236254763200871,
1,86,0.7410613735808942,0.7771892597589826,0.825122482308111,0.8247142079477409,
1,87,0.7402703873684248,0.7616880192079127,0.8244420250408274,0.8230811105062602,
1,88,0.7391719501574214,0.7783408618243207,0.8243059335873707,0.8219923788786064,
1,89,0.7383674969259006,0.7768982958293456,0.825122482308111,0.8263473053892215,
1,90,0.7400528923697763,0.7823387835471307,0.8245781164942841,0.8247142079477409,
1,91,0.7410217327696696,0.7744341999765029,0.8249863908546543,0.8268916712030484,
1,92,0.7374118978718761,0.7833437396922398,0.8247142079477409,0.8263473053892215,
1,93,0.7394271129922572,0.7772864581573434,0.8243059335873707,0.8225367446924333,
1,94,0.7367454189068147,0.7775824139479959,0.8247142079477409,0.8214480130647795,
1,95,0.7357932629425529,0.7702954849708576,0.8245781164942841,0.8214480130647795,
1,96,0.7363017105983465,0.783840667882991,0.8253946652150245,0.824169842133914,
1,97,0.7346476863792621,0.7803274526842878,0.8252585737615677,0.824169842133914,
1,98,0.737242982853749,0.7749696206363281,0.8256668481219379,0.8247142079477409,
1,99,0.7368894336401586,0.7689846457689266,0.8236254763200871,0.8214480130647795,
1,100,0.739338980017587,0.7754834270952412,0.8252585737615677,0.8258029395753946,82.0110497237569
2,1,1.388223582628669,1.0080621300851285,0.692025040827436,0.7065868263473054,
2,2,1.0310855940585126,0.902144325520562,0.7651061513336962,0.7768100163309745,
2,3,0.8910785445704887,0.8230443053937958,0.786336418072945,0.8002177463255308,
2,4,0.8426782975713492,0.8008925808307494,0.7916439847577572,0.8023952095808383,
2,5,0.8260206937995226,0.8058094925579788,0.7970876428960262,0.8083832335329342,
2,6,0.816227544130648,0.7893350723200669,0.8053892215568862,0.813826891671203,
2,7,0.8102115740206057,0.8036555418692014,0.8022591181273816,0.8127381600435493,
2,8,0.7953923002876921,0.8070458673939371,0.8067501360914534,0.813826891671203,
2,9,0.788758217124849,0.772228587639481,0.8060696788241698,0.8154599891126837,
2,10,0.7795653424125782,0.7932946729072415,0.8072945019052804,0.8127381600435493,
2,11,0.7749234281839587,0.7726319531959441,0.8096080566140447,0.8143712574850299,
2,12,0.7726074123206949,0.7667335453192407,0.8109689711486119,0.8143712574850299,
2,13,0.7727210136784781,0.7678600504883816,0.813826891671203,0.8170930865541643,
2,14,0.7660941736831718,0.7660898476291892,0.8136908002177463,0.8170930865541643,
2,15,0.7643262463891289,0.7476599695715771,0.8214480130647795,0.8258029395753946,
2,16,0.7079044429217332,0.7389872261601799,0.8150517147523135,0.8170930865541643,
2,17,0.700031925425561,0.7011226143871783,0.8218562874251497,0.8263473053892215,
2,18,0.699392551108759,0.7014472432867179,0.8207675557974959,0.8236254763200871,
2,19,0.6938476040885813,0.6941567076902616,0.8214480130647795,0.8247142079477409,
2,20,0.694567226049362,0.6958063186305117,0.821720195971693,0.8219923788786064,
2,21,0.7002036913785078,0.6995753936211764,0.8200870985302123,0.8263473053892215,
2,22,0.7007543483420182,0.700302824656381,0.8213119216113228,0.8230811105062602,
2,23,0.6962691110340425,0.7010083093922751,0.8195427327163854,0.8219923788786064,
2,24,0.6964222342495194,0.705363805178563,0.8191344583560153,0.8268916712030484,
2,25,0.6968144523373307,0.7006697389594239,0.8203592814371258,0.8268916712030484,
