Number of Models: 10
Test Accuracies: [82.0110497237569, 82.40883977900553, 81.87845303867404, 82.32044198895028, 82.05524861878453, 82.29834254143647, 82.23204419889503, 82.25414364640883, 81.90055248618785, 82.05524861878453]
Mean Accuracy: 82.1414364640884
Standard Deviation: 0.1850292657585375
Total Time: 0:26:27.800089



########## Model 1 ##########

Test Accuracy: 82.0110497237569


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|      87 |     0.74027  |          0.761688 |         0.824442 |              0.823081 |
|      88 |     0.739172 |          0.778341 |         0.824306 |              0.821992 |
|      89 |     0.738367 |          0.776898 |         0.825122 |              0.826347 |
|      90 |     0.740053 |          0.782339 |         0.824578 |              0.824714 |
|      91 |     0.741022 |          0.774434 |         0.824986 |              0.826892 |
|      92 |     0.737412 |          0.783344 |         0.824714 |              0.826347 |
|      93 |     0.739427 |          0.777286 |         0.824306 |              0.822537 |
|      94 |     0.736745 |          0.777582 |         0.824714 |              0.821448 |
|      95 |     0.735793 |          0.770295 |         0.824578 |              0.821448 |
|      96 |     0.736302 |          0.783841 |         0.825395 |              0.82417  |
|      97 |     0.734648 |          0.780327 |         0.825259 |              0.82417  |
|      98 |     0.737243 |          0.77497  |         0.825667 |              0.824714 |
|      99 |     0.736889 |          0.768985 |         0.823625 |              0.821448 |
|     100 |     0.739339 |          0.775483 |         0.825259 |              0.825803 |

########## Model 2 ##########

Test Accuracy: 82.40883977900553


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.38822  |          1.00806  |         0.692025 |              0.706587 |
|       2 |     1.03109  |          0.902144 |         0.765106 |              0.77681  |
|       3 |     0.891079 |          0.823044 |         0.786336 |              0.800218 |
|       4 |     0.842678 |          0.800893 |         0.791644 |              0.802395 |
|       5 |     0.826021 |          0.805809 |         0.797088 |              0.808383 |
|       6 |     0.816228 |          0.789335 |         0.805389 |              0.813827 |
|       7 |     0.810212 |          0.803656 |         0.802259 |              0.812738 |
|       8 |     0.795392 |          0.807046 |         0.80675  |              0.813827 |
|       9 |     0.788758 |          0.772229 |         0.80607  |              0.81546  |
|      10 |     0.779565 |          0.793295 |         0.807295 |              0.812738 |
|      11 |     0.774923 |          0.772632 |         0.809608 |              0.814371 |
|      12 |     0.772607 |          0.766734 |         0.810969 |              0.814371 |
|      13 |     0.772721 |          0.76786  |         0.813827 |              0.817093 |
|      14 |     0.766094 |          0.76609  |         0.813691 |              0.817093 |
|      15 |     0.764326 |          0.74766  |         0.821448 |              0.825803 |
