Model,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Accuracy
1,1,1.498428653464074,1.416359968802408,0.47381986487672195,0.44812458872559774,
1,2,1.3644371768893526,1.3376567706126814,0.5391769763972976,0.5241939021715288,
1,3,1.0508286966433567,0.9968820556764956,0.6541414407300167,0.6336477297652994,
1,4,0.9817304167184416,0.9664342041979866,0.6793015705887514,0.6750164509760912,
1,5,1.0410614078664462,1.0944423123360925,0.7048894445906818,0.7005483658697083,
1,6,1.0238020419214817,0.9372380068553194,0.7483219268228481,0.7341083570958543,
1,7,0.8117943266960104,0.8071555906526998,0.7775401421426691,0.7751699934196096,
1,8,0.7962645316478657,0.8007219172451704,0.7873343862419935,0.7838999780653653,
1,9,0.842370030960905,0.9150852967817923,0.7456128805826094,0.7364334283834174,
1,10,0.9146949474209087,0.8677878900539198,0.7686562253224533,0.7627111208598377,
1,11,0.850486123083114,0.8031945684563414,0.7880472931473195,0.7836806317174819,
1,12,0.839087907492903,0.9541860513335582,0.7198275862068966,0.7046720772099144,
1,13,1.0431025832698755,1.2258524412170324,0.5802513819426165,0.5699056810704102,
1,14,1.0737818767334546,0.9138915695178004,0.7259366499956129,0.7174819039262996,
1,15,1.0902943954024544,1.0702843589055995,0.6521562691936474,0.6450098705856547,
1,16,1.239369710250697,1.3090000710285454,0.5216284987277354,0.5150690940995832,
1,17,1.1260249822198436,1.1572791133502485,0.5904514345880495,0.5636762447905243,
1,18,1.1214049038732121,1.1573025391370122,0.5903198210055278,0.5642026760254442,
1,19,1.1355116762803767,1.2859018822003276,0.545220233394753,0.5291072603641149,
1,20,1.1896593628136884,1.1437757108043458,0.5946191980345705,0.5692476420267603,
1,21,1.1498992966434616,1.1508013342855905,0.5954856541195052,0.5790743584119324,
1,22,1.1613612827282391,1.1555566808910942,0.5661577608142494,0.5619653432770344,
1,23,1.3287945943789288,1.2448841109710038,0.558644818811968,0.5348980039482343,
1,24,1.1133256666380462,1.006316851558101,0.6269522681407388,0.6104847554288221,
1,25,0.9825280989805452,1.001447891687322,0.6269413003421953,0.6098705856547488,
1,26,0.975310476530806,0.9970392613696925,0.6282135649732385,0.6107479710462821,
1,27,0.9727345912769538,0.9959293325040864,0.6277090462402387,0.6118447027856986,
1,28,0.9722289006611563,0.9923946208772321,0.6135386505220672,0.6191270015354244,
1,29,0.9676175096392738,0.9865375371441583,0.6287180837062385,0.6123711340206186,
1,30,0.9799372740488776,1.0253765914897786,0.6120031587259805,0.587935950866418,
1,31,1.140911739693315,1.4641281738013292,0.44939457752040013,0.4191708708050011,
1,32,1.432982577081236,1.4627442008480773,0.4493507063262262,0.4189953937266945,
1,33,1.3442523903609291,1.1464683201265593,0.6072102307624814,0.5859618337354683,
1,34,0.971410448509355,0.8528322964872616,0.7621084495919979,0.7478833077429261,
1,35,0.9441638758609853,1.0111368105268015,0.621775467228218,0.6159684141259048,
1,36,1.115833911873484,1.4387263648547548,0.4523229797315083,0.42162754990129414,
1,37,1.4256135524104647,1.4648653387957404,0.44964683688690005,0.4189953937266945,
1,38,1.4324422143033602,1.4623963779645528,0.44939457752040013,0.4191708708050011,
1,39,1.4323112450987985,1.4618135106302783,0.44938360972185665,0.4191270015354244,
1,40,1.4324302985835675,1.4645572844904575,0.4493507063262262,0.4189953937266945,
1,41,1.431914275671829,1.4642454154723041,0.44938360972185665,0.4191270015354244,
1,42,1.4314397331690303,1.4622108840925536,0.44938360972185665,0.4191270015354244,
1,43,1.2154171258970459,1.1542384150042868,0.6010682635781346,0.5803465672296556,
1,44,1.115328845143556,1.1354158007620856,0.6015508467140476,0.5813994296994955,
1,45,1.106593760090276,1.123781044043652,0.6015727823111345,0.5813994296994955,
1,46,1.1053160145878815,1.1224296524239044,0.6015727823111345,0.5814432989690722,
1,47,1.1026368670285471,1.1160155202524886,0.601561814512591,0.5813994296994955,
1,48,1.0944315011740027,1.1154082238432284,0.6055102219882426,0.5853037946918184,
1,49,1.0857937869005927,1.0993060636298773,0.6067824866192858,0.5870585654748849,
1,50,1.0815833381492677,1.0895767820719027,0.6137360708958498,0.5926738319806976,
1,51,1.0702415052410748,1.0851206686534574,0.6127160656313065,0.591577100241281,
1,52,1.0643116149946932,1.0784248833288905,0.6151399491094147,0.5939021715288441,
1,53,1.0618165441932053,1.0749194890693345,0.6200754584539792,0.5995613073042334,
1,54,1.0600634712992454,1.0976065677653148,0.6134070369395455,0.5924983549023909,
1,55,1.0580272000989561,1.085481906391651,0.6127160656313065,0.591577100241281,
1,56,1.0584626008230547,1.0683503856496772,0.6171909274370448,0.596490458433867,
1,57,1.0545732430434496,1.0714046623496674,0.6181341581117838,0.5977626672515902,
1,58,1.0533595765855746,1.0720764957645863,0.6189348074054576,0.5986839219127001,
1,59,1.0504248741935487,1.0682085835573423,0.6192528735632183,0.5984207062952401,
1,60,1.059971284049971,1.0751713568561792,0.6108844432745459,0.5904803685018645,
1,61,1.0659301164568733,1.0772674667676927,0.6127709046240238,0.591577100241281,
1,62,1.0591170997387376,1.0835488932952466,0.610127665175046,0.5896468523799079,
1,63,1.0624579357349608,1.0791720350480636,0.611323155216285,0.591445492432551,
1,64,1.0606646232172314,1.0806096351244903,0.6098644380100027,0.5896468523799079,
1,65,1.0596163912050582,1.0831541541513456,0.6104786347284373,0.5903048914235578,
1,66,1.1130618133708212,1.1532611826937205,0.5996314819689392,0.5793814432989691,
1,67,1.0914216819783824,1.0806139531995962,0.6093379836799158,0.5897784601886379,
1,68,1.0585912346567423,1.0750586676713523,0.6105005703255243,0.5903487606931345,
1,69,1.0763618167922446,0.8911935264593159,0.7481245064490656,0.7358631278789208,
1,70,0.8924135345741673,0.9950736064029485,0.6836119154163376,0.6722965562623382,
1,71,1.0449754806739782,1.0735313887555855,0.6101166973765025,0.5899100679973679,
1,72,1.0575640033128646,1.072724633464702,0.614065104852154,0.5943408642246106,
1,73,1.0562492087888626,1.0741805623735712,0.6114218654031762,0.5923667470936609,
1,74,1.0593002774358418,1.0723050194079826,0.6130999385803282,0.5922790085545075,
1,75,1.0548372421774024,1.0735237434816582,0.6160722119856102,0.5957008115814871,
1,76,1.0589016533113678,1.0713354560769113,0.6104896025269808,0.5901732836148278,
1,77,1.0601402482918028,1.0704336926685092,0.6066289374396772,0.5911822768150911,
1,78,1.0530800021550941,1.069834842719912,0.6161818899710451,0.5957885501206405,
1,79,1.0577735862408995,1.0716137123767997,0.6139334912696324,0.5931125246764641,
1,80,1.0523105334329226,1.0777367641560183,0.6162915679564798,0.5956130730423338,
1,81,1.0508069451427005,1.0705989620770389,0.6186057734491532,0.5983768370256636,
1,82,1.0639312614499596,1.1415051795671851,0.5994450293937001,0.5832419390217153,
1,83,1.0750705384806163,1.1006005392014664,0.6093270158813723,0.5874972581706515,
1,84,1.047911340645764,0.8274167449218599,0.7670329911380188,0.754902390875192,
1,85,0.7687429367383006,0.7707624526368895,0.791052469948232,0.7842948014915552,
1,86,0.7489939612094985,0.773409487168937,0.7913376327103624,0.7853037946918184,
