Model,Epoch,Train Loss,Validation Loss,Train Accuracy,Validation Accuracy,Test Accuracy
1,1,1.9093173950324058,0.8044180929618379,0.6802907915993538,0.6873385012919897,
1,2,0.5925565641994313,0.509418468154299,0.7660743134087238,0.7693798449612403,
1,3,0.5016361659362008,0.48815006659867,0.77156704361874,0.7758397932816538,
1,4,0.48489526690118184,0.5198861581747767,0.7558966074313409,0.7609819121447028,
1,5,0.48757409235751176,0.505930801113606,0.772859450726979,0.7609819121447028,
1,6,0.47999950716594236,0.479178855897905,0.7744749596122779,0.7758397932816538,
1,7,0.4692184640858,0.4573052900862585,0.8100161550888529,0.810077519379845,
1,8,0.4401972934178608,0.40536655454778775,0.8080775444264944,0.8087855297157622,
1,9,0.41979531845257334,0.37657999318694996,0.8518578352180937,0.8456072351421189,
1,10,0.4199323194943442,0.6009805421388834,0.7846526655896607,0.7958656330749354,
1,11,0.41496557877117785,0.34360552977227377,0.8552504038772213,0.8540051679586563,
1,12,0.3518806709029832,0.31291963685147983,0.8717285945072698,0.872093023255814,
1,13,0.3285580255873319,0.3707949869172994,0.847172859450727,0.8527131782945736,
1,14,0.3988573319777823,0.354082481050773,0.8589660743134088,0.8585271317829457,
1,15,0.3250737560307633,0.2999040932136323,0.8739903069466882,0.8682170542635659,
1,16,0.3009117598554274,0.2818871884350498,0.8841680129240711,0.8934108527131783,
1,17,0.30616752394494906,0.2862584930068513,0.8891760904684975,0.898578811369509,
1,18,0.3302818281143144,0.328280079130439,0.8712439418416801,0.8662790697674418,
1,19,0.33252779576364544,0.31785556251920566,0.8705977382875606,0.8656330749354005,
1,20,0.3007379383610788,0.2800449302040684,0.887075928917609,0.8863049095607235,
1,21,0.29519374672506915,0.2924513365436934,0.8777059773828756,0.8850129198966409,
1,22,0.2872924276152528,0.27254592900412944,0.8953150242326333,0.898578811369509,
1,23,0.2798299834829879,0.2795500993267538,0.8911147011308562,0.8863049095607235,
1,24,0.2864433589435019,0.26846213225708476,0.8925686591276252,0.8850129198966409,
1,25,0.2736845316981903,0.26775157785284537,0.8840064620355412,0.8914728682170543,
1,26,0.27503987563294024,0.2678216148208021,0.8891760904684975,0.8979328165374677,
1,27,0.3025315694933175,0.2726413777555646,0.8788368336025848,0.8837209302325582,
1,28,0.3005977838766107,0.2745727170128654,0.88562197092084,0.8888888888888888,
1,29,0.2757388939724281,0.2638623957140193,0.8961227786752827,0.8998708010335917,
1,30,0.27279719785914686,0.2668310223317749,0.8932148626817448,0.896640826873385,
1,31,0.3347551555911555,0.28744796443907866,0.8901453957996769,0.8850129198966409,
1,32,0.2779801390954817,0.26947874269229605,0.8891760904684975,0.8914728682170543,
1,33,0.2802223215827067,0.27019326197679366,0.8878836833602585,0.8979328165374677,
1,34,0.2766032556619138,0.29000911810547714,0.8823909531502423,0.8695090439276486,
1,35,0.27086251692861313,0.27992685735065576,0.8886914378029079,0.8888888888888888,
1,36,0.26785436817450814,0.27102973441426476,0.8859450726978998,0.8908268733850129,
1,37,0.2758302248348576,0.2709728837144076,0.8936995153473344,0.8972868217054264,
1,38,0.2954696838157802,0.26216582108108216,0.8933764135702746,0.8959948320413437,
1,39,0.26732000264674294,0.2650245899690237,0.9008077544426495,0.900516795865633,
1,40,0.2706020456823435,0.2663327613942754,0.8869143780290791,0.8901808785529716,
1,41,0.2669796220006343,0.29497992493283676,0.8840064620355412,0.8850129198966409,
1,42,0.28322198794800685,0.26543980344817647,0.8917609046849758,0.8856589147286822,
1,43,0.2785253325824803,0.2690401256480981,0.8980613893376413,0.9076227390180879,
1,44,0.26807952222361225,0.25543121224737825,0.8924071082390953,0.9011627906976745,
1,45,0.2708474873335991,0.28081226229988593,0.8730210016155089,0.8785529715762274,
1,46,0.26839887801221335,0.2722050346945152,0.8882067851373182,0.8921188630490956,
1,47,0.26823138477735187,0.26304131132128306,0.8935379644588045,0.8992248062015504,
1,48,0.26331429009167684,0.2769698146425835,0.8859450726978998,0.8947028423772609,
1,49,0.3517060868260418,0.35937338895571574,0.8573505654281098,0.8527131782945736,
1,50,0.28693840899374135,0.33410804979278086,0.8760904684975768,0.874031007751938,
1,51,0.2769302873271612,0.2792347747223617,0.8830371567043619,0.877906976744186,
1,52,0.266619189694102,0.25367007784985424,0.8980613893376413,0.9063307493540051,
1,53,0.26698567362796577,0.27234503947588923,0.8925686591276252,0.896640826873385,
1,54,0.26688107059719407,0.2659534905635393,0.887237479806139,0.8850129198966409,
1,55,0.27053799347244667,0.3401912579745477,0.8712439418416801,0.8824289405684754,
1,56,0.30506015967161326,0.2677140601977708,0.8983844911147011,0.8940568475452196,
1,57,0.26746288140965596,0.2698029622335976,0.8961227786752827,0.8998708010335917,
1,58,0.26371926089049536,0.26362401704385846,0.8954765751211632,0.9018087855297158,
1,59,0.26652603837312977,0.26029192027680276,0.8954765751211632,0.8979328165374677,
1,60,0.2674616868870742,0.2645850996780007,0.8959612277867528,0.900516795865633,
