Number of Models: 10
Test Accuracies: [82.8370084110025, 83.24619231643555, 82.08683791770856, 82.63241645828597, 82.76881109343033, 82.88247328938395, 82.8370084110025, 82.90520572857467, 82.90520572857467, 83.22345987724484]
Mean Accuracy: 82.83246192316436
Standard Deviation: 0.32269745245237236
Total Time: 0:24:01.588318



########## Model 1 ##########

Test Accuracy: 82.8370084110025


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|      87 |     0.510509 |          0.537158 |         0.834663 |              0.837066 |
|      88 |     0.512434 |          0.549981 |         0.834523 |              0.838746 |
|      89 |     0.514253 |          0.549114 |         0.832983 |              0.834826 |
|      90 |     0.511784 |          0.549787 |         0.833403 |              0.835386 |
|      91 |     0.509836 |          0.549228 |         0.834383 |              0.837626 |
|      92 |     0.511948 |          0.541361 |         0.834103 |              0.840985 |
|      93 |     0.511342 |          0.55352  |         0.833543 |              0.836506 |
|      94 |     0.512509 |          0.535056 |         0.833263 |              0.837066 |
|      95 |     0.511941 |          0.552032 |         0.834103 |              0.840426 |
|      96 |     0.513429 |          0.541584 |         0.834663 |              0.839866 |
|      97 |     0.510619 |          0.541633 |         0.833683 |              0.835946 |
|      98 |     0.514483 |          0.544608 |         0.832843 |              0.835386 |
|      99 |     0.51418  |          0.538138 |         0.833683 |              0.839866 |
|     100 |     0.510003 |          0.547268 |         0.834243 |              0.838186 |

########## Model 2 ##########

Test Accuracy: 83.24619231643555


|   Epoch |   Train Loss |   Validation Loss |   Train Accuracy |   Validation Accuracy |
|---------|--------------|-------------------|------------------|-----------------------|
|       1 |     1.57703  |          0.828308 |         0.780344 |              0.797312 |
|       2 |     0.848898 |          0.767404 |         0.810724 |              0.824748 |
|       3 |     0.800419 |          0.745003 |         0.818144 |              0.826428 |
|       4 |     0.789763 |          0.747206 |         0.821224 |              0.827548 |
|       5 |     0.782085 |          0.743711 |         0.820384 |              0.828108 |
|       6 |     0.779065 |          0.743148 |         0.821924 |              0.833147 |
|       7 |     0.773575 |          0.747632 |         0.821924 |              0.829787 |
|       8 |     0.776391 |          0.745496 |         0.822484 |              0.833147 |
|       9 |     0.76961  |          0.73345  |         0.821924 |              0.833707 |
|      10 |     0.769815 |          0.745583 |         0.822064 |              0.829787 |
|      11 |     0.773045 |          0.732442 |         0.822904 |              0.833707 |
|      12 |     0.765788 |          0.734814 |         0.822904 |              0.833147 |
|      13 |     0.768657 |          0.736779 |         0.822064 |              0.829787 |
|      14 |     0.768943 |          0.737743 |         0.822204 |              0.832587 |
|      15 |     0.763744 |          0.736599 |         0.822064 |              0.829787 |
|      16 |     0.764725 |          0.73256  |         0.830043 |              0.840985 |
|      17 |     0.764017 |          0.738559 |         0.822064 |              0.829787 |
|      18 |     0.767181 |          0.733318 |         0.829623 |              0.837626 |
|      19 |     0.763697 |          0.732564 |         0.829203 |              0.838186 |
|      20 |     0.760957 |          0.737975 |         0.829483 |              0.837066 |
|      21 |     0.764632 |          0.737569 |         0.830183 |              0.840985 |
|      22 |     0.761964 |          0.730071 |         0.822764 |              0.833147 |
|      23 |     0.761885 |          0.730643 |         0.830883 |              0.841545 |
|      24 |     0.762442 |          0.734191 |         0.821364 |              0.830907 |
|      25 |     0.76097  |          0.73047  |         0.830743 |              0.841545 |
|      26 |     0.762427 |          0.73241  |         0.830743 |              0.840985 |
|      27 |     0.760697 |          0.729583 |         0.830743 |              0.840985 |
|      28 |     0.758582 |          0.727766 |         0.830043 |              0.838746 |
|      29 |     0.754007 |          0.720433 |         0.830043 |              0.837626 |
|      30 |     0.74876  |          0.716509 |         0.830883 |              0.841545 |
|      31 |     0.740885 |          0.71786  |         0.829903 |              0.837066 |
|      32 |     0.741126 |          0.725442 |         0.829903 |              0.837626 |
|      33 |     0.734702 |          0.717601 |         0.830043 |              0.837626 |
|      34 |     0.736026 |          0.719841 |         0.829903 |              0.838186 |
|      35 |     0.736373 |          0.71287  |         0.830323 |              0.840985 |
|      36 |     0.736334 |          0.717183 |         0.830743 |              0.840426 |
|      37 |     0.732513 |          0.723941 |         0.830603 |              0.840985 |
|      38 |     0.755452 |          0.719442 |         0.828363 |              0.838186 |
|      39 |     0.741055 |          0.717683 |         0.830323 |              0.839306 |
|      40 |     0.733276 |          0.720804 |         0.831023 |              0.841545 |
|      41 |     0.738884 |          0.719934 |         0.825983 |              0.840985 |
|      42 |     0.879639 |          0.779408 |         0.804704 |              0.817469 |
|      43 |     0.813927 |          0.758043 |         0.812684 |              0.825308 |
|      44 |     0.799214 |          0.756316 |         0.808904 |              0.825868 |
|      45 |     0.804154 |          0.740588 |         0.817724 |              0.826988 |
|      46 |     0.783317 |          0.749241 |         0.814224 |              0.828108 |
|      47 |     0.782769 |          0.744787 |         0.828643 |              0.840426 |
|      48 |     0.778303 |          0.735609 |         0.820244 |              0.828108 |
|      49 |     0.770988 |          0.740809 |         0.828923 |              0.836506 |
|      50 |     0.770098 |          0.732746 |         0.829343 |              0.838186 |
|      51 |     0.771428 |          0.746667 |         0.821364 |              0.828108 |
|      52 |     0.766753 |          0.73839  |         0.821084 |              0.828108 |
|      53 |     0.770757 |          0.747353 |         0.824724 |              0.835946 |
|      54 |     0.767698 |          0.734673 |         0.822064 |              0.831467 |
